"N° Id","Tipo Imbarcazioni Ship Type","Nomi Imbarcazioni Ship Name","Naz. Imbarcazioni Ship Nationality","Porto Partenza Departure Place","Partenza Departure","Porto Arrivo Arrival Place","Arrivo Arrival","Porto Scalo Portcall Place","Merce Articles","Fonte Sources","Persona People Info"
00158,,,,Pisa,22/05/1391,"Aigues Mortes",,,,"Archivio di Stato di Prato (Datini)","Giovanni Alessandri di Savona (padrone)"
00160,,,,Southampton,12/07/1395,,,,,"Archivio di Stato di Prato (Datini)","Giovanni Alessandri di Savona (padrone)"
00161,,,,Southampton,12/07/1395,Pisa,17/10/1395,,"lana, panni, roba","Archivio di Stato di Prato (Datini)","Giovanni Alessandri di Savona (padrone)"
00162,,,,Pisa,14/12/1394,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio Alfolchi (padrone)"
00171,nave,,,Valenza,,Bruges,15/05/1399,,riso,"Archivio di Stato di Prato (Datini)","Iacopo di Lorenzo da Siena (padrone)"
00188,,,,Motrone,,Maiorca,19/01/1407,,,"Archivio di Stato di Prato (Datini)","Antonio Alifante (padrone)"
00197,,,,Bruges,,Pisa,25/08/1400,"Southampton, Savona",,"Archivio di Stato di Prato (Datini)","Paganino da Biascia di Genova (padrone)"
00204,,,,Southampton,01/08/1399,Genova,,,,"Archivio di Stato di Prato (Datini)","Piero d'Allegro di Genova (padrone)"
00207,,,,Southampton,04/08/1401,Genova,,Pisa,"lana, panni, stagno","Archivio di Stato di Prato (Datini)","Piero d'Allegro di Genova (padrone), Termo Centurione (padrone), Berlinghieri Embrone (padrone)"
00210,nave,,Liguria-Italia,Levante,,Southampton,14/09/1401,,,"Archivio di Stato di Prato (Datini)","Raffaello Larcaro di Genova (padrone), n.s. (n.s.)"
00211,,,,Pisa,01/02/1402,,,,,"Archivio di Stato di Prato (Datini)","Piero d'Allegro di Genova (padrone)"
00212,,,,Romania,,Genova,15/03/1403,,,"Archivio di Stato di Prato (Datini)","Pietro Allegri (padrone)"
